zone_id,observed_on,ndvi_mean,ndvi_baseline,wetness_index
Z-001,2026-08-25,0.15932263949754824,0.19242318241489892,-0.16466400066319067
Z-002,2026-08-25,0.10301836236648453,0.16995395650434925,-0.11865176483033646
Z-003,2026-08-25,0.15126117259126168,0.2045266343592575,-0.16527523257377633
Z-004,2026-08-25,0.0738846858672897,0.10993547426676552,-0.09973315615041924
Z-005,2026-08-25,0.26468301736572286,0.19108120257016922,-0.2607993450274761
Z-006,2026-08-25,,0.39310565821639054,
Z-007,2026-08-25,0.2114674407570938,0.27187781919018844,-0.18497815820207153
Z-008,2026-08-25,0.18873048950809942,0.2471811515248529,-0.18716070286132183
Z-009,2026-08-25,0.10412183654756665,0.15093232114992908,-0.12606346579308728
Z-010,2026-08-25,0.089589393264857,0.14136063832759505,-0.11484168092327857
Z-011,2026-08-25,,0.28394765397868266,
Z-012,2026-08-25,,0.26414571772415474,
Z-013,2026-08-25,0.2699890251525074,0.3183486050792434,-0.2539651752524857
Z-014,2026-08-25,0.39408066332306124,0.4356174777684122,-0.35197196643730283
Z-015,2026-08-25,-0.0017399114850788172,0.17770389590301064,0.0027278895167778105
Z-016,2026-08-25,,0.28682147548852116,
Z-017,2026-08-25,,0.31091540101369214,
Z-018,2026-08-25,0.4353017204081301,0.36509417540521416,-0.3923935283779759
Z-019,2026-08-25,0.2236406457016949,0.31528081843684325,-0.22181741890830953
Z-020,2026-08-25,0.2835392844984027,0.44920963037199335,-0.23181108720094354
Z-021,2026-08-25,,0.24873731701972793,
Z-022,2026-08-25,,0.2633663630214855,
Z-023,2026-08-25,,0.18714225839684992,
Z-024,2026-08-25,0.09817628160276978,0.16639321689961176,-0.12181947615928354
Z-025,2026-08-25,0.14785000748662094,0.3276775597295432,-0.15674429775944193
Z-026,2026-08-25,,0.35445333353875874,
Z-027,2026-08-25,0.42009777662552367,0.45489172125235894,-0.3905446420924369
Z-028,2026-08-25,0.24632894346788933,0.25616686890884866,-0.2550133570610972
Z-029,2026-08-25,0.1964738679747088,0.19987387431508177,-0.21422598181393349
Z-030,2026-08-25,0.10450932731619827,0.11278431355513265,-0.13524662510606938
